flight_no,flight_id,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,arrival_city,status,actual_departure,actual_arrival,aircraft_code,seats,book_ref,total_amount,amount,fare_conditions,ticket_no
PG0252,136366,2017-01-11T10:05:00Z,2017-01-11T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-11T10:08:00Z,2017-01-11T11:47:00Z,733,130,3A56BE,12200.00,12200.00,Economy,5432052110   
PG0252,136366,2017-01-11T10:05:00Z,2017-01-11T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-11T10:08:00Z,2017-01-11T11:47:00Z,733,130,70A55E,24400.00,12200.00,Economy,5432052111   
PG0252,136366,2017-01-11T10:05:00Z,2017-01-11T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-11T10:08:00Z,2017-01-11T11:47:00Z,733,130,70A55E,24400.00,12200.00,Economy,5432052112   
PG0252,136316,2017-01-12T10:05:00Z,2017-01-12T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-12T10:07:00Z,2017-01-12T11:47:00Z,733,130,3805A3,12200.00,12200.00,Economy,5432052113   
PG0252,136316,2017-01-12T10:05:00Z,2017-01-12T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-12T10:07:00Z,2017-01-12T11:47:00Z,733,130,EF6FF2,12200.00,12200.00,Economy,5432052114   
PG0252,136316,2017-01-12T10:05:00Z,2017-01-12T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-12T10:07:00Z,2017-01-12T11:47:00Z,733,130,3FA474,12200.00,12200.00,Economy,5432052115   
PG0252,136275,2017-01-13T10:05:00Z,2017-01-13T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-13T10:08:00Z,2017-01-13T11:46:00Z,733,130,DD8F67,24400.00,12200.00,Economy,5432052116   
PG0252,136275,2017-01-13T10:05:00Z,2017-01-13T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-13T10:08:00Z,2017-01-13T11:46:00Z,733,130,DD8F67,24400.00,12200.00,Economy,5432052117   
PG0252,136275,2017-01-13T10:05:00Z,2017-01-13T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-13T10:08:00Z,2017-01-13T11:46:00Z,733,130,0329D8,12200.00,12200.00,Economy,5432052118   
PG0252,136185,2017-01-14T10:05:00Z,2017-01-14T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-14T10:06:00Z,2017-01-14T11:49:00Z,733,130,52EC31,24400.00,12200.00,Economy,5432052119   
PG0252,136185,2017-01-14T10:05:00Z,2017-01-14T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-14T10:06:00Z,2017-01-14T11:49:00Z,733,130,52EC31,24400.00,12200.00,Economy,5432052120   
PG0252,136185,2017-01-14T10:05:00Z,2017-01-14T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-14T10:06:00Z,2017-01-14T11:49:00Z,733,130,572D4C,12200.00,12200.00,Economy,5432052121   
PG0252,136172,2017-01-15T10:05:00Z,2017-01-15T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-15T10:05:00Z,2017-01-15T11:44:00Z,733,130,033D52,24400.00,12200.00,Economy,5432052122   
PG0252,136172,2017-01-15T10:05:00Z,2017-01-15T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-15T10:05:00Z,2017-01-15T11:44:00Z,733,130,033D52,24400.00,12200.00,Economy,5432052123   
PG0252,136172,2017-01-15T10:05:00Z,2017-01-15T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-15T10:05:00Z,2017-01-15T11:44:00Z,733,130,66235D,12200.00,12200.00,Economy,5432052124   
PG0252,136282,2017-01-16T10:05:00Z,2017-01-16T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-16T10:07:00Z,2017-01-16T11:48:00Z,733,130,8978A6,12200.00,12200.00,Economy,5432052125   
PG0252,136282,2017-01-16T10:05:00Z,2017-01-16T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-16T10:07:00Z,2017-01-16T11:48:00Z,733,130,A7EE7B,12200.00,12200.00,Economy,5432052126   
PG0252,136282,2017-01-16T10:05:00Z,2017-01-16T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-16T10:07:00Z,2017-01-16T11:48:00Z,733,130,9B3F14,13400.00,13400.00,Economy,5432052127   
PG0252,136471,2017-01-17T10:05:00Z,2017-01-17T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-17T10:11:00Z,2017-01-17T11:51:00Z,733,130,24091D,24400.00,12200.00,Economy,5432052128   
PG0252,136471,2017-01-17T10:05:00Z,2017-01-17T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-17T10:11:00Z,2017-01-17T11:51:00Z,733,130,24091D,24400.00,12200.00,Economy,5432052129   
PG0252,136471,2017-01-17T10:05:00Z,2017-01-17T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-17T10:11:00Z,2017-01-17T11:51:00Z,733,130,32651A,12200.00,12200.00,Economy,5432052130   
PG0252,136389,2017-01-18T10:05:00Z,2017-01-18T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-18T10:10:00Z,2017-01-18T11:50:00Z,733,130,0B4326,24400.00,12200.00,Economy,5432052131   
PG0252,136389,2017-01-18T10:05:00Z,2017-01-18T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-18T10:10:00Z,2017-01-18T11:50:00Z,733,130,0B4326,24400.00,12200.00,Economy,5432052132   
PG0252,136389,2017-01-18T10:05:00Z,2017-01-18T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-18T10:10:00Z,2017-01-18T11:50:00Z,733,130,35723A,12200.00,12200.00,Economy,5432052133   
PG0252,136389,2017-01-18T10:05:00Z,2017-01-18T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-18T10:10:00Z,2017-01-18T11:50:00Z,733,130,DF93C0,12200.00,12200.00,Economy,5432052134   
PG0252,136387,2017-01-19T10:05:00Z,2017-01-19T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-19T10:08:00Z,2017-01-19T11:47:00Z,733,130,4133D3,73200.00,36600.00,Business,5432052135   
PG0252,136387,2017-01-19T10:05:00Z,2017-01-19T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-19T10:08:00Z,2017-01-19T11:47:00Z,733,130,4133D3,73200.00,36600.00,Business,5432052136   
PG0252,136387,2017-01-19T10:05:00Z,2017-01-19T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-19T10:08:00Z,2017-01-19T11:47:00Z,733,130,BCF931,12200.00,12200.00,Economy,5432052137   
PG0252,136463,2017-01-20T10:05:00Z,2017-01-20T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-20T10:06:00Z,2017-01-20T11:45:00Z,733,130,8E2534,24400.00,12200.00,Economy,5432052138   
PG0252,136463,2017-01-20T10:05:00Z,2017-01-20T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-20T10:06:00Z,2017-01-20T11:45:00Z,733,130,8E2534,24400.00,12200.00,Economy,5432052139   
PG0252,136463,2017-01-20T10:05:00Z,2017-01-20T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-20T10:06:00Z,2017-01-20T11:45:00Z,733,130,6E061F,12200.00,12200.00,Economy,5432052140   
PG0252,136428,2017-01-21T10:05:00Z,2017-01-21T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-21T10:08:00Z,2017-01-21T11:47:00Z,733,130,699AA1,12200.00,12200.00,Economy,5432052141   
PG0252,136428,2017-01-21T10:05:00Z,2017-01-21T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-21T10:08:00Z,2017-01-21T11:47:00Z,733,130,CABCE3,48800.00,12200.00,Economy,5432052142   
PG0252,136428,2017-01-21T10:05:00Z,2017-01-21T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-21T10:08:00Z,2017-01-21T11:47:00Z,733,130,CABCE3,48800.00,36600.00,Business,5432052143   
PG0252,136310,2017-01-22T10:05:00Z,2017-01-22T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-22T10:07:00Z,2017-01-22T11:47:00Z,733,130,D41B8D,24400.00,12200.00,Economy,5432052144   
PG0252,136310,2017-01-22T10:05:00Z,2017-01-22T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-22T10:07:00Z,2017-01-22T11:47:00Z,733,130,D41B8D,24400.00,12200.00,Economy,5432052145   
PG0252,136310,2017-01-22T10:05:00Z,2017-01-22T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-22T10:07:00Z,2017-01-22T11:47:00Z,733,130,7BFDE9,12200.00,12200.00,Economy,5432052146   
PG0252,136293,2017-01-23T10:05:00Z,2017-01-23T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-23T10:09:00Z,2017-01-23T11:48:00Z,733,130,C91F7B,12200.00,12200.00,Economy,5432052147   
PG0252,136293,2017-01-23T10:05:00Z,2017-01-23T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-23T10:09:00Z,2017-01-23T11:48:00Z,733,130,805BC4,12200.00,12200.00,Economy,5432052148   
PG0252,136293,2017-01-23T10:05:00Z,2017-01-23T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-23T10:09:00Z,2017-01-23T11:48:00Z,733,130,0BEC2F,12200.00,12200.00,Economy,5432052149   
PG0252,136345,2017-01-24T10:05:00Z,2017-01-24T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-24T13:32:00Z,2017-01-24T15:12:00Z,733,130,487611,24400.00,12200.00,Economy,5432052150   
PG0252,136345,2017-01-24T10:05:00Z,2017-01-24T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-24T13:32:00Z,2017-01-24T15:12:00Z,733,130,487611,24400.00,12200.00,Economy,5432052151   
PG0252,136345,2017-01-24T10:05:00Z,2017-01-24T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-24T13:32:00Z,2017-01-24T15:12:00Z,733,130,E9C06B,24400.00,12200.00,Economy,5432052152   
PG0252,136345,2017-01-24T10:05:00Z,2017-01-24T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-24T13:32:00Z,2017-01-24T15:12:00Z,733,130,E9C06B,24400.00,12200.00,Economy,5432052153   
PG0252,136383,2017-01-25T10:05:00Z,2017-01-25T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-25T10:09:00Z,2017-01-25T11:51:00Z,733,130,E95520,24400.00,12200.00,Economy,5432052154   
PG0252,136383,2017-01-25T10:05:00Z,2017-01-25T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-25T10:09:00Z,2017-01-25T11:51:00Z,733,130,E95520,24400.00,12200.00,Economy,5432052155   
PG0252,136436,2017-01-26T10:05:00Z,2017-01-26T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-26T10:08:00Z,2017-01-26T11:47:00Z,733,130,FEBA56,24400.00,12200.00,Economy,5432052156   
PG0252,136436,2017-01-26T10:05:00Z,2017-01-26T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-26T10:08:00Z,2017-01-26T11:47:00Z,733,130,FEBA56,24400.00,12200.00,Economy,5432052157   
PG0252,136436,2017-01-26T10:05:00Z,2017-01-26T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-26T10:08:00Z,2017-01-26T11:47:00Z,733,130,902AE5,12200.00,12200.00,Economy,5432052158   
PG0252,136436,2017-01-26T10:05:00Z,2017-01-26T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-26T10:08:00Z,2017-01-26T11:47:00Z,733,130,654463,48800.00,12200.00,Economy,5432052159   
PG0252,136436,2017-01-26T10:05:00Z,2017-01-26T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-26T10:08:00Z,2017-01-26T11:47:00Z,733,130,654463,48800.00,36600.00,Business,5432052160   
PG0252,136485,2017-01-27T10:05:00Z,2017-01-27T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-27T10:07:00Z,2017-01-27T11:47:00Z,733,130,4BA940,12200.00,12200.00,Economy,5432052161   
PG0252,136485,2017-01-27T10:05:00Z,2017-01-27T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-27T10:07:00Z,2017-01-27T11:47:00Z,733,130,8DFD75,12200.00,12200.00,Economy,5432052162   
PG0252,136131,2017-01-28T10:05:00Z,2017-01-28T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-28T10:07:00Z,2017-01-28T11:46:00Z,733,130,0830C8,24400.00,12200.00,Economy,5432052163   
PG0252,136131,2017-01-28T10:05:00Z,2017-01-28T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-28T10:07:00Z,2017-01-28T11:46:00Z,733,130,0830C8,24400.00,12200.00,Economy,5432052164   
PG0252,136131,2017-01-28T10:05:00Z,2017-01-28T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-28T10:07:00Z,2017-01-28T11:46:00Z,733,130,01A10E,12200.00,12200.00,Economy,5432052165   
PG0252,136178,2017-01-29T10:05:00Z,2017-01-29T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-29T10:10:00Z,2017-01-29T11:49:00Z,733,130,649B67,61000.00,36600.00,Business,5432052166   
PG0252,136178,2017-01-29T10:05:00Z,2017-01-29T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-29T10:10:00Z,2017-01-29T11:49:00Z,733,130,649B67,61000.00,12200.00,Economy,5432052167   
PG0252,136178,2017-01-29T10:05:00Z,2017-01-29T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-29T10:10:00Z,2017-01-29T11:49:00Z,733,130,649B67,61000.00,12200.00,Economy,5432052168   
PG0252,136226,2017-01-30T10:05:00Z,2017-01-30T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-30T10:08:00Z,2017-01-30T11:48:00Z,733,130,F95C82,12200.00,12200.00,Economy,5432052169   
PG0252,136226,2017-01-30T10:05:00Z,2017-01-30T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-30T10:08:00Z,2017-01-30T11:48:00Z,733,130,E16210,24400.00,12200.00,Economy,5432052170   
PG0252,136226,2017-01-30T10:05:00Z,2017-01-30T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-30T10:08:00Z,2017-01-30T11:48:00Z,733,130,E16210,24400.00,12200.00,Economy,5432052171   
PG0252,136181,2017-01-31T10:05:00Z,2017-01-31T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-31T10:05:00Z,2017-01-31T11:44:00Z,733,130,348033,12200.00,12200.00,Economy,5432052172   
PG0252,136181,2017-01-31T10:05:00Z,2017-01-31T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-31T10:05:00Z,2017-01-31T11:44:00Z,733,130,AC6885,12200.00,12200.00,Economy,5432052173   
PG0252,136181,2017-01-31T10:05:00Z,2017-01-31T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-31T10:05:00Z,2017-01-31T11:44:00Z,733,130,6ADDA1,24400.00,12200.00,Economy,5432052174   
PG0252,136181,2017-01-31T10:05:00Z,2017-01-31T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-31T10:05:00Z,2017-01-31T11:44:00Z,733,130,6ADDA1,24400.00,12200.00,Economy,5432052175   
PG0252,136135,2017-02-01T10:05:00Z,2017-02-01T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-01T10:08:00Z,2017-02-01T11:48:00Z,733,130,EE2213,13400.00,13400.00,Economy,5432052176   
PG0252,136135,2017-02-01T10:05:00Z,2017-02-01T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-01T10:08:00Z,2017-02-01T11:48:00Z,733,130,194C12,36600.00,36600.00,Business,5432052177   
PG0252,136486,2017-02-02T10:05:00Z,2017-02-02T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-02T10:07:00Z,2017-02-02T11:48:00Z,733,130,4FCCD3,12200.00,12200.00,Economy,5432052178   
PG0252,136486,2017-02-02T10:05:00Z,2017-02-02T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-02T10:07:00Z,2017-02-02T11:48:00Z,733,130,73D410,12200.00,12200.00,Economy,5432052179   
PG0252,136486,2017-02-02T10:05:00Z,2017-02-02T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-02T10:07:00Z,2017-02-02T11:48:00Z,733,130,E71E28,12200.00,12200.00,Economy,5432052180   
PG0252,136441,2017-02-03T10:05:00Z,2017-02-03T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-03T10:07:00Z,2017-02-03T11:47:00Z,733,130,02C1C5,12200.00,12200.00,Economy,5432052181   
PG0252,136441,2017-02-03T10:05:00Z,2017-02-03T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-03T10:07:00Z,2017-02-03T11:47:00Z,733,130,FA8BE7,24400.00,12200.00,Economy,5432052182   
PG0252,136441,2017-02-03T10:05:00Z,2017-02-03T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-03T10:07:00Z,2017-02-03T11:47:00Z,733,130,FA8BE7,24400.00,12200.00,Economy,5432052183   
PG0252,136441,2017-02-03T10:05:00Z,2017-02-03T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-03T10:07:00Z,2017-02-03T11:47:00Z,733,130,C47C7D,12200.00,12200.00,Economy,5432052184   
PG0252,136411,2017-02-04T10:05:00Z,2017-02-04T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-04T10:06:00Z,2017-02-04T11:46:00Z,733,130,6DFEBD,12200.00,12200.00,Economy,5432052185   
PG0252,136411,2017-02-04T10:05:00Z,2017-02-04T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-04T10:06:00Z,2017-02-04T11:46:00Z,733,130,B278A9,36600.00,36600.00,Business,5432052186   
PG0252,136411,2017-02-04T10:05:00Z,2017-02-04T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-04T10:06:00Z,2017-02-04T11:46:00Z,733,130,5CF6FD,12200.00,12200.00,Economy,5432052187   
PG0252,136360,2017-02-05T10:05:00Z,2017-02-05T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-05T10:08:00Z,2017-02-05T11:48:00Z,733,130,DB4D9B,12200.00,12200.00,Economy,5432052188   
PG0252,136360,2017-02-05T10:05:00Z,2017-02-05T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-05T10:08:00Z,2017-02-05T11:48:00Z,733,130,A6BFFD,36600.00,12200.00,Economy,5432052189   
PG0252,136360,2017-02-05T10:05:00Z,2017-02-05T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-05T10:08:00Z,2017-02-05T11:48:00Z,733,130,A6BFFD,36600.00,12200.00,Economy,5432052190   
PG0252,136360,2017-02-05T10:05:00Z,2017-02-05T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-05T10:08:00Z,2017-02-05T11:48:00Z,733,130,A6BFFD,36600.00,12200.00,Economy,5432052191   
PG0252,136322,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,733,130,0499FA,24400.00,12200.00,Economy,5432052192   
PG0252,136322,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,733,130,0499FA,24400.00,12200.00,Economy,5432052193   
PG0252,136284,2017-02-07T10:05:00Z,2017-02-07T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-07T10:07:00Z,2017-02-07T11:48:00Z,733,130,AC1536,24400.00,12200.00,Economy,5432052194   
PG0252,136284,2017-02-07T10:05:00Z,2017-02-07T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-02-07T10:07:00Z,2017-02-07T11:48:00Z,733,130,AC1536,24400.00,12200.00,Economy,5432052195   
