"listing_name","listing_location","listing_description","listing_salary"
"Vice President of Finance","San Francisco, CA","We are looking for a passionate and experienced Vice President of Finance to join our growing Finance team. Reporting to our Chief Financial Officer, they will lead and build our Finance team while partnering with senior leaders to grow our business and company. The Vice President of Finance will drive clarity and alignment between our strategy and financial results while building the operating cadence by which we measure our progress. They will help identify investments that push our business forward and ensure that we have the resources to support those investments. Additionally, this role will require strong communication skills, easily explaining our strategy, our performance, and opportunity to employees, investors, and our Board. What you'll be doing Build a team of highly engaged finance professionals Be a strategic and financial advisor to the executive team and business owners across the company Lead our financial planning process, ensuring our key strategic initiatives and operating plans are prioritized and funded appropriately Ensure optimal use of, and access to, capital to allow seamless execution against Discord's strategy Lead financings with private and public investors while minimizing the cost of capital Identify and report on key performance indicators to assist senior management and the Board in the ongoing management of the company Provide analytical insights to help accelerate growth and provide the team with operational insight to better manage the business Analyze business risks and opportunities, and make recommendations as they affect the financial results of the business What you should have 15+ years of experience in finance or related functions Experience building, managing, and developing diverse and teams Stakeholder management skills, working exceptionally well cross-functionally and managing a team that can do so, as well Experience with gaming or consumer-based businesses Excellent communication skills in addressing multiple constituents A knack for setting measurable goals for the team and reliably executing against them Strong appreciation and focus on data-driven decision making Strong work ethic ...with a ton of capacity to have fun! &nbsp; Benefits and Perks Medical insurance including Health, Dental, Vision&nbsp; 13 paid holidays&nbsp; Unlimited sick days&nbsp; Parental Leave and fertility benefits&nbsp; Supported-employee clubs and Employee Resource Groups&nbsp; Commuter Contributions of $270 a month (pretax)&nbsp; Daily lunches and unlimited snacks&nbsp; Monthly gym and fitness stipend&nbsp; About Us Friends, coworkers, gamers, nerds, moms, dads, engineers, designers, marketers, support. Originally, we created Discord to help people come together around games. It's been amazing to watch it grow into what it is today - a place where millions of diverse communities exist and people connect with old friends and new. Diversity and inclusiveness are a critical part of how we get to what's next. We believe that with diversity comes a better product, better decisions, and a better work environment. As we continue to grow, our values keep us dedicated to building a company that is representative of the world we live and play in. Discord is an equal opportunity employer committed to promoting an inclusive work environment free of discrimination and harassment. We value diversity, inclusion, and aim to provide a sense of belonging for everyone.",""
"Vice President Finance","Denver, CO 80203 (North Capitol Hill area)","Job Description:
SUMMARY
A brief description summarizing the overall purpose and objectives of the position and the results the worker is expected to accomplish.
The Vice President of Finance is responsible for the development and maintenance of the Company’s short-term financial forecasting models, the development and oversight of the Company’s capital and operating budget, day to day treasury functions, as well as the management of the investor relations function. Additionally, the VP of Finance demonstrates a strong understanding of Accounting and Taxes, thus complementing the overall ability to strategically forecast for PDC.
ESSENTIAL FUNCTIONS
The tasks, duties, and responsibilities of the position that are most important to get the job done.
Assist in establishing and implementing short- and long- range financial goals, objectives, policies, and procedures;
Actively participate in financial forecasting and budgeting activities for the Company, its affiliates and individual transactions being considered;
Oversee the investor relations program, including strategy, budget and the detailed execution of the IR operating plan;
Direct strategic investor relations communications and messaging pertaining to emergent company issues and activities;
Provide counsel and advice to other senior leaders regarding investor relations strategies;
Oversee and forecast the Company’s liquidity or cash flow positions, strategically manage financing strategies, maintain banking relationships, lead or oversee equity or debt financing deals, and oversee the company’s credit monitoring policies and strategies;
Manage the annual budget with complete income statement, balance sheet & statement of cash flows;
Develop and maintain an annual capital and operating budgeting and periodic internal reporting process interfacing with both corporate and field personnel at all levels;
Prepare monthly forecasts to support Executive management’s strategic planning efforts and periodic evaluation of pending business arrangements, acquisitions of operating properties or companies, etc;
Prepare and/or assist the preparation of an annual general and administrative budget for the corporate departments such as Accounting, Finance, IT, HR, etc.;
Oversee the Corporate insurance programs;
Assist in the annual external audit including all subsidiaries;
Review the preparation of external financial statements in accordance with GAAP and SEC regulations;
Evaluate reports and continually evaluate and enhance financial reports to provide management with information to assist them in making business decisions;
Assist in establishing and maintaining internal and operational controls necessary to monitor performance and comply with Sarbanes-Oxley 404;
Consult with PDC leadership on accounting & reporting aspects of new lending arrangements or acquisition agreements;
Continually seek opportunities for improvements;
Be proactive in providing strategic insight, solutions and leadership;
Assist with other corporate needs requested by the executive management team;
Perform other finance and business related projects as assigned by the CFO;
Demonstrates commitment to safety and environmental compliance in all job aspects.
KNOWLEDGE, SKILLS AND ATTRIBUTES
The specific minimum competencies required for job performance.
Must demonstrate strong leadership skills, the ability to creatively think through complicated problems in a strategic manner, and the ability to implement strategic and tactical solutions with and through people;
Must have demonstrated well-honed business skills; a willingness to accept and assign accountability and responsibility; and the ability to establish clear, consistent objectives and deliver measurable results and positive impact;
Previous successful experience with coaching, mentoring and managing finance or accounting personnel;
Acts ethically, with complete integrity and honesty; possesses a strong work ethic and demands high professional standards of self and others;
Works with purpose and a sense of urgency, is deadline focused and commitment driven;
Identifies priorities, problems and opportunities; quickly elicits cooperation for solutions in a positive and proactive manner;
Ability to work within, build and lead teams of subordinates, outside advisors and co- workers;
Abilities of self-sufficiency and self-assurance to work in a growing and evolving function;
Advanced knowledge of financial processes, internal control considerations, and Financial Planning techniques a must;
Clarity of communication, both written and oral, to small and large groups including Executive staff;
Ability to clearly present financial concepts to non-financial groups;
Strong presentation and project management skills;
Ability to manage multiple projects in a deadline oriented function.
CAREER PROGRESSION ATTRIBUTES
The specific minimum attributes required at the designated Career Progression classification.
Vice President
Competency – Provides visionary corporate leadership. Responsible for pure alignment of departmental strategy to the corporate vision. Proven ability to anticipate trends. Leads department through effective oversight in conjunction with Director(s) and Manager(s). Proficient public speaker both internally and externally.
Responsibility – Continuously evaluates, maintains, and enhances department’s overall performance and reputation. Transforms company efficiencies through departmental improvements. Ensures successful outcomes of career progression and succession planning. Effectively interacts with SMT and Board of Directors.
Problem Solving – Highly effective at gaining consensus. Proactively anticipates, evaluates, and prioritizes corporate and departmental issues and their long-range impact.
Teaming – Creates a culture of teamwork that empowers the company to operate at peak efficiency. Achieves maximum results in a collaborative manner by determining when to lead and when to listen.
SUPERVISORY RESPONSIBILITIES
The scope of the person’s authority, including a list of jobs that report to the incumbent.
This position has several direct reports in addition to leading the overall Finance team.
WORKING CONDITIONS
The environment in which the job is performed, especially any unique conditions outside a normal office environment.
Primarily normal office environment conditions;
Travel between corporate office, field offices and IR/Bank Meetings is required.
MINIMUM QUALIFICATIONS
The minimum level of education, experience, and certifications required to perform the job.
Distinguished incumbent exhibiting extensive knowledge and leadership skills within area of expertise and broadly in other business functions. Sets direction of department strategy and is expected to influence cross department and corporate visions;
12+ years’ minimum experience leading a corporate finance team including experience in a GAAP and SEC reporting environment;
Public Company experience preferred;
Bachelor’s Degree in Accounting, Finance or related major;
Prior executive level management experience in a corporate finance or accounting function;
CPA certification plus;
Master’s Degree or MBA plus.",""
"Vice President, Finance","Oklahoma City, OK 73108","JOB SUMMARY: Oversees the administration of the agency’s financial operations and works closely with the President/CEO to align plans, policies, and accounting practices with strategic organizational plans. Executive oversight of the development, planning, and execution of the overall direction of Finance and Accounting IT.
Indirect Reports: IT Staff
ESSENTIAL JOB FUNCTIONS:
Oversight of the financial and treasury functions of the organization and will carry out responsibility through development, implementation and management of the GICO financial reporting system and maintains internal operating controls.
Advanced knowledge of general and non-profit accounting principles to present a clear picture of the organization’s financial results of operations.
Review large contracts including grants and leases, and other significant financial transactions and recommends and/or negotiates revisions, as necessary, prior to recommending for President/CEO signature.
Provide strategic financial (multi-year) plans for the agency.
Provide information on all agency financial matters to the Finance and Audit Committee of the Board of Directors, for relating the agency’s programs to financial requirements, and for direction of all accounting functions necessary for the annual operation of the agency.
Provide leadership to ensure the accurate and timely functions of departments.
Work closely and in partnership with the President/CEO and Executive Team to develop annual budget principles and assumptions for approval of the Board.
Oversee the financials and work with the Leadership Team to use those budget principles to develop annual operating budget for approval by the President/CEO and Board of Directors.
Educate senior staff and managers on financial issues impacting their budgets.
Direct the continuing review of present corporate systems, determining appropriate changes to affect improvement, reduce costs and enhance efficiencies.
Monitor return on investment (ROI) for all GICO programs, initiatives and contracts.
Provide and ensure the accuracy, integrity, credibility and timeliness of financial reports for management and Board of Directors. Supports board level committees (Audit/Finance/Investment).
Oversee preparation of year-end financial statements for audit report and collaborate with auditors on completion of annual IRS Form 990 filings.
Oversee the receipt, disbursement, banking, protection, and custody of funds, securities and financial instruments. Participate in the development, interpretation and administration of organizational policies and procedures on an as needed basis.
Train and develop staff in the areas of mission, vision, goals and competencies.
Review and be familiar with Goodwill of Central Oklahoma safety policies, programs and procedures and adhere to all safety rules, regulations, and safety codes. Attend safety training and meetings and report any unsafe work conditions, accidents or injuries immediately.
Oversee Asset Management by providing support for the accuracy and timeliness of tracking inventory received as required by Retail/Donated Goods and contribute to the success of annual or periodic inventory audits.
ADDITIONAL RESPONSIBILITIES:
Perform other duties and projects as required by the CEO/President.
Qualifications:
Degree in Accounting, Finance, Business Management or related field, required and 5 or more years of progressively responsible people and project management experience or equivalent combination.
CPA desirable.
Experience with inventory management, database software to support inventory, receivables and deliverables.
Experience in financial statement preparation, budgeting, forecasting, internal controls, or similar methodologies. Excellent ability in explaining financial and accounting concepts.
Working knowledge of public, private, local, state and federal programs targeted to assist low-income individuals highly desirable. Experience in a non-profit organization is highly desirable.
Systems knowledge experience is preferred.
Ability to speak, read and write the English language.
Reliable transportation and communication, required.
Valid Oklahoma Driver’s License and Car Insurance Verification, required.
Must pass MVR check and maintain a good driving record.
KNOWLEDGE, SKILLS, AND ABILITIES:
High level of attention to detail.
Excellent verbal and written communication skills.
Strong organizational skills and the ability to work on several projects at once.
Strong sense of internal and external customer service.
Strong interpersonal skills; able to work well with a wide range of people.
Capability of completing complex financial analysis.
Demonstrated ability in evaluating and developing internal controls.
Good presentation skills; able to prepare and present complex financial issues clearly.
Excellent time management skills and adherence to timelines and schedules.
Demonstrated resourcefulness and ability to take initiative in development and completion of projects.
Strong attention to detail, analytical abilities, and problem solving skills.
Thorough understanding of business management and financial principles (GAAP); thorough knowledge of general ledger, accounts payable, accounts receivable, payroll, income tax and banking.
Able and willing to continue professional development.
Proficiency in Microsoft Office products such as Word, Excel, PowerPoint
Experience or ability to learn Great Plains software.
CORE COMPETENCIES:
To perform the job successfully, an individual should demonstrate the following:
Collaborative Leader
Lives the values of Goodwill: Respect, Integrity, Commitment, and Innovation
Developer of People
Focused on Results but Mindful of the Mission
Employee and Customer Centered
Skilled in Crucial Conversation Skills
Passionate about Building and Leading Teams
Consistently Displays Servant Leadership
PHYSICAL REQUIREMENTS: The characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions.
This work is sedentary and requires the following physical activities: Sitting for long periods of time; occasional bending, squatting, kneeling, stooping; good finger dexterity and feeling; frequent repetitive motions; talking, hearing, and visual acuity.
Occasional lifting up to 10 pounds, or more with assistance.
WORK ENVIRONMENT:
Works in a climate controlled, office environment most of the time.
Low noise level.
Works 40 hours per week or more when required.",""
"Vice President Finance","Fort Worth, TX 76177","Vice President of Finance
Reporting to the Draken Chief Financial Officer in our Fort Worth, Texas headquarters office, the Vice President of Finance will play a critical role in developing and implementing fiscal management and reporting strategies across Draken US. As a member of the leadership team, the Vice President of Finance will be an advisor to the Draken US management team, Draken senior leadership team, board of directors, and other relevant internal stakeholders. The Vice President of Finance will also coordinate and team with other Draken business unit leadership as required for company operations.
The Vice President of Finance is the Draken US chief financial officer, overseeing the establishment and oversight of sound systems of accounting, financial operation and reporting, budgetary reporting and control, payroll, and taxes.
Duties and Responsibilities
Manages a wide variety of accounting and financial operations, including but not limited to: Accounting (General Ledger, Indirect Rates, Accounts Receivable, Accounts Payable, Payroll, Treasury/Banking, Partnership Tax, Property/Sales/Use/State tax, budgets, program/operations finance, financial planning and analysis (FP&A), Cash management/forecasting, revenue recognition, internal controls, external audits, and capital investment strategies, analysis, return on investments, and related analysis and reporting.
Oversees and provides leadership to the Finance and Accounting Departments.
Developing and maintaining all necessary accounting and finance policies and procedures
Oversees the development and submission of the annual operating budget, including analysis affecting revenue and/or expenditures, preparing long-range forecasts and overseeing budget processes.
Issue regular status/reporting to management with enough fidelity and analysis to support management decision making. Coordinate, prepare and review monthly, quarterly, and annual reports.
Provide strategic guidance around capital financing options to support company growth needs to include private equity return on investment analysis and reporting.
Ability to provide ad hoc reporting as needed to owners and management as required
Ability to analyze Draken US company's financial results with respect to profits, trends, costs, and compliance with budgets
Managing and analyzing cash flow to ensure maximization of working cash and capital
Management of all tax planning, services for tax preparation, and compliance with all required federal, state, local, payroll, property, and other applicable taxes.
Ensuring all records are maintained in accordance with generally accepted accounting principles and all FAR/DFAR/Cost Accounting Standards
Developing and coordinating all relationships with lending/financial institutions.
Developing, coordination, and maintaining government audit relationships (DCAA, DCMA, DFAS, DLA, etc.)
Interacting with private equity analysts and board of directors.
Ability to multitask, communicate well, and work cooperatively with others.
Ability to meet or exceed all deadlines with minimal follow up
Ability to effectively supervise and motivate personnel and hold personnel accountable to deadlines
Ability to work with sensitive information and maintain confidentiality.
Other finance and administrative duties as required.
Qualifications
Bachelors (required) or master's degree (preferred) in a related field
Seven (7) years or more of financial management experience in a very fast-paced, growing aerospace business environment
CPA designation preferred but not required
Experience within US Government Contracting preferred, to include experience with Cost Accounting Standards, Forward Pricing Rates/Indirect Rates, FAR/DFAR, DCAA and DCMA audit exposures.
Extensive experience right-sizing and building new finance and accounting teams with limited budgetary resources in a start up environment
Strong organizational skills, attention to detail, with the ability to multi-task in a fast-paced environment with fluctuating priorities and deadlines
Experience in business with activity-based project costing and cost per flying hour/aircraft leasing cost is preferred
Ability to work without direct supervision, and efficiently manage tasks and time of personnel to include Remote workers across multiple time zones
Merger and acquisition finance experience preferred
Deltek Costpoint ERP experience preferred
Experience with Private Equity preferred
REQUIRED DOCUMENTS
Federal law requires all employers to verify the identity and employment eligibility of all persons hired to work in the United States. Draken participates in E-Verify and applicants selected for employment will be required to provide proof of citizenship and identification.
https://www.uscis.gov/us-citizenship/proof-us-citizenship-and-identification-when-applying-a-job
https://www.e-verify.gov
Background Check required
Drug Screening Required
Security clearance may be required
EEO STATEMENT
Draken International is a drug-free workplace committed to providing Equal Opportunity in Employment, to all applicants and employees regardless of, race, color, religion, gender, age, national origin, military status, veteran status, handicap, physical or mental disability, sexual orientation, gender identity, genetic information or any other characteristic protected by law. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf
https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf
PAY TRANSPARENCY STATEMENT
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise, have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information.
ACCESSIBILITY AND REASONABLE ACCOMMODATION
As an Equal Opportunity employer, Draken International LLC. complies with federal and state disability laws and makes reasonable accommodations for applicants and employees with disabilities. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact Draken International LLC. via email hr@drakenintl.com or in writing at 3330 Flightline Drive Lakeland, Florida 33811 Or 6160 North Hollywood Blvd Suite 104 Las Vegas Nevada 89115.
NOTICE TO THIRD PARTY AGENCIES
Please note that Draken International LLC. does not accept unsolicited resumes from recruiters or employment agencies. In the absence of a signed Recruitment Fee Agreement, Draken International LLC will not consider or agree to payment of any referral compensation or recruiter fee. In the event a recruiter or agency submits a resume or candidate without a previously signed agreement, Draken International LLC explicitly reserves the right to pursue and hire those candidate(s) without any financial obligation to the recruiter or agency. Any unsolicited resumes, including those submitted to hiring managers, are deemed to be the property of Draken International LLC.",""
"Vice President, FP&A","Remote","Department:
Accounting and Finance
Location:
Remote
Who We Are:
EZ Texting is the #1 text communications technology company delivering fast, easy, and effective solutions for businesses across a wide variety of industries. Dreamers first, we are at the forefront of revolutionizing the way businesses communicate with their customers and believe personal relationships can transform an organization’s ability to grow.
Our employees are our greatest strength. We’re expanding quickly and scaling our teams to help accelerate growth while remaining committed to hiring exceptional, values-aligned talent. We have consistently been rated a Top 100 workplace and are committed to being a best-in-class employer for remote work — with benefits to match!
We are only open to hire in CA, GA, NY, OR, PA, TN, TX & WA, but please continue to follow us for future opportunities as we expand our operating boundaries
Role Overview:
We are looking to bring on a VP of FP&A for this role. This individual will be responsible for partnering cross-functionally within a fast-moving technology company and its senior management to build annual budgets, manage forecasts, and provide decision support through financial analyses to ensure optimal returns on strategic investments. Candidates are required to be analytical, highly effective communicators, and display thoughtful business judgement. The ideal candidate will be a financial modeler, with a proven track record employing analysis to influence senior-level decision-making. This is a key position providing guidance on financial and operational matters across the entire organization.
Primary Responsibilities:
Drive annual operating plan cycle including target setting, guideline creation, managing calendar and milestones and producing presentations for senior leadership and board of directors
Design and refine detailed financial models that forecast and analyze functional costs in order to fully understand sources of variance and, ultimately, improve forecast accuracy
Lead, motivate, develop, and retain a high-performing group of finance team members
Partner closely with Accounting and People teams, to proactively seeking opportunities to improve processes, frameworks, and systems
Become embedded with business partners across the company, quickly establishing trust, building relationships and gaining a deep understanding of relevant drivers; Build and maintain relationships with cross-functional teams to synthesize and integrate updates relating to variances in actual procurement activity relative to budget forecasts
Responsible for overseeing and refining long range, driver based financial model for the business at Channel and Functional level in partnership with cross-functional teams; Work closely with BI/Analytics to build an enablement plan for the Company to drive business results based on these business models and assumptions.
Requirements:
Data driven and goal oriented, you measure success both quantitatively and qualitatively, and understand the importance of both
Self-starter with a strong work ethic who is highly team and results-oriented, inquisitive, and enjoys problem solving.
Advanced experience supporting subscription/SaaS business and sound understanding of SaaS business metrics and revenue models is required
Expertise in building Excel-based financial models and testing key assumptions through data and operational alignment
Deep knowledge of core Financial Statement analysis and impact (Income Statement, Balance Sheet, Cash Flow)
Knowledge of Sales & Marketing applicable key metrics – ARR, MRR, CAC, Churn, LTV, Leads, Win-Rate and pipeline contribution etc
Excellent communication skills (written and verbal) with experience developing and delivering presentations
Ability to multitask effectively, working in team environments or independently
Proven ability to lead, train, hire and inspire a team that drives accurate and timely financial analysis each fiscal month, quarter and on an ad hoc basis
Team player with a ""no task is too small"" attitude
Past experience working in a dynamic, high-growth company where adaptability is imperative
Degree in Finance, Accounting, or Economics; Experience in SaaS or subscription based businesses highly preferred (investment banking, venture or high growth tech)
Benefits:
Benefits available to EZ Texting team members include, but are not limited to:
100% paid medical, vision, dental and life insurance for self (70% for families)
Stock options
401(k) plan
Paid vacation and unlimited sick leave
Paid parental leave
Annual personalized learning reimbursement
Quarterly wellness reimbursement
Remote-work optimization benefits including:
Monthly internet reimbursement
Monthly flexible remote work stipend, including DoorDash subscription
Annual home office enhancement stipend
Direct-billing ordering for supplies
EZ Texting is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
Join the 165,000 customers who have used SMS marketing to connect with their audiences.
TRY IT FOR FREE",""
"VICE PRESIDENT INVESTMENT BANKING","San Francisco, CA","","$165,000 - $185,000 a year"
"VICE PRESIDENT FINANCE","Dallas, TX 75237 (Wolf Creek area)","",""
"Vice President Finance","Denver, CO 80203 (North Capitol Hill area)","",""
"Vice President Finance","Brattleboro, VT 05301","",""
"Vice President for Finance and Management","Cortland, NY 13045","",""
"Vice President of Finance","Monrovia, CA 91016","",""
"Vice President Finance and Administration","Fairfield, CA 94534","","$139,005 - $162,616 a year"
"Vice President, Finance","Detroit, MI 48201 (Downtown area)","",""
"Vice President Finance","Fort Worth, TX 76177","",""
"Vice President, FP&A","Remote","",""
"Vice President for Finance","El Paso, TX","",""
"Vice President of Finance","Renton, WA","",""
"VP of Finance","Oklahoma","","$150,000 - $200,000 a year"
"Vice President, Finance & Controller","New York, NY","",""
"Vice President of Finance - Gardena","Gardena, CA 90248","","$150,000 - $170,000 a year"
